"fire","point","int.1","int.2","int.3","int.4","int.5","fa","lat","snag.ct","cc","elev.res"
"Azusa","DM01",0,NA,0,0,0,9,37.9390272242432,0,56.2770108874239,682.724257059668
"Harding","RM01",0,0,0,0,0,4,39.6444222747509,0,42.7727695901544,-636.669396516351
"Hooker","RM01",0,0,0,0,0,6,36.0980073207486,0,0.939167348970783,816.857597454447
"Moonlight","RM08",1,NA,0,1,NA,2,40.2257459182018,0,24.8972324242445,-216.946600909485
"Manter","RG03",0,0,0,0,0,9,36.0512721907204,1,1.81437493119608,-265.630531786151
"Azusa","RS03",0,0,0,0,0,9,37.9383147861396,1,78.1050432082612,962.381444273227
"Inyo Complex","RG03",0,0,0,0,0,2,36.8437718853583,4,97.6583688357898,-768.293504470793
"Inyo Complex","RM02",0,0,0,0,0,2,36.8444449568905,2,86.3726123516768,-669.969634191731
"Bassetts","RG01",0,NA,0,0,0,3,39.6280426509050,0,46.2000235049511,95.4490142436794
"Plum","DM12",0,0,0,0,0,7,38.7561763009998,0,40.6817389725192,-1234.07786297619
"Kibbie","DM05",0,NA,0,0,0,6,38.0406558677853,0,9.65040971169843,166.626187345134
"Mud","JS06",1,NA,1,NA,NA,6,38.4448885113595,7,42.128987652627,906.135883295045
"Kibbie","RS06",0,0,0,0,0,6,38.0208548942794,22,92.3350038067327,-897.901695663247
"Sawmill","RM01",0,0,0,0,0,9,36.9002295914341,1,37.2275342812292,-380.127041253636
"Inyo Complex","RG01",0,0,0,0,0,2,36.8438148559799,1,99.589268729787,-998.272827757334
"Inyo Complex","RM01",0,0,0,0,0,2,36.8439172939817,0,97.596269733102,-866.223536377976
"Birch","DM07",0,NA,0,0,0,7,37.5429851770301,5,99.1264091378819,782.155733187697
"Birch","DM04",0,0,0,0,0,7,37.5479428424661,2,99.7935484411085,390.541275305355
"Inyo Complex","RM05",0,0,0,0,0,2,36.8443030763410,0,98.8088893729724,379.962095363061
"Bell West","HP10",0,NA,0,0,0,10,41.4555657931348,0,18.0773208304617,-565.178732210719
"Birch","DM06",0,0,0,0,0,7,37.5445523001765,1,99.4970689129546,650.909805506121
"Birch","RS01",0,0,0,0,0,7,37.5480213091899,1,89.7623300148235,-265.420967876063
"Bell West","RM07",0,0,0,0,0,10,41.4735889474416,0,52.1810256077764,-596.50630478557
"Inyo Complex","RG02",0,0,0,0,0,2,36.8433605654930,2,99.9988542198644,-866.491424414196
"Bell West","RM06",0,NA,0,0,0,10,41.4713700068694,3,0,-537.57402027785
"Birch","DM05",0,NA,0,0,0,7,37.5462401123788,2,100,520.721951292733
"Rich","HP07",0,0,0,0,0,1,40.0357950138791,20,98.0630971563675,-2028.34766223529
"Rich","HP06",0,NA,0,0,0,1,40.0379691549254,14,100,-1947.30150349332
"Rich","HP09",0,0,0,0,0,1,40.0364487745584,6,96.8338877156193,-2348.03308400175
"Bell","RM06",0,NA,0,0,0,8,41.7102161294803,0,63.5924536361727,187.354567074926
"Bell West","HP02",0,NA,0,0,0,10,41.4644948933965,0,0.000415846809351611,-615.882204939561
"Bell","RM02",0,NA,0,0,0,8,41.7165653716760,5,99.962506423746,150.409711652261
"Bell","HP02",0,NA,0,0,0,8,41.7234007244708,1,57.66347559751,110.698764169325
"Peterson Complex","HP07",1,NA,0,1,NA,1,40.8971715307028,0,7.45315824004401,-433.86830969133
"Bell","RM08",0,NA,0,0,0,8,41.7143553397968,7,100,159.346282867636
"Blue","HP09",1,NA,1,NA,NA,8,41.1551544779583,3,0.614627868276518,1180.26858382434
"Bell","RM09",0,0,0,0,0,8,41.7166234402862,4,94.87214284784,125.437653254440
"Moonlight","HP10",0,NA,0,0,0,2,40.2208836926154,0,10.7070020473157,-79.2862190365332
"Harding","RM07",1,NA,0,0,0,4,39.6347229219115,1,3.09321306186141,-461.336555890273
"Moonlight","HP09",0,0,0,0,0,2,40.2198112846946,0,17.0738562399253,-59.8022430190722
"Moonlight","HP02",0,NA,0,0,0,2,40.2111395022702,0,9.34294762159256,-343.974953436024
"Peterson Complex","HP03",0,0,0,1,NA,1,40.8877352305855,1,17.0619844216562,-438.408892684528
"Peterson Complex","RM04",0,NA,1,NA,NA,1,40.8836632264601,1,19.2750776206586,-260.36827003054
"Peterson Complex","HP04",1,NA,0,0,0,1,40.8900997514301,9,17.3609477511322,-437.271126504924
"Moonlight","RM05",0,0,0,0,0,2,40.218617370213,0,1.98724271415328,-310.376733838894
"Horton2","RG06",0,NA,0,1,NA,10,39.8915864126472,2,55.2115148095499,22.2616746778206
"Moonlight","RM06",1,NA,1,NA,NA,2,40.2210233578605,0,1.38082906448726,-219.219014557154
"Antelope Complex","HP10",0,NA,1,NA,NA,2,40.1177052013458,17,87.5735874051935,531.066090989768
"Bell West","RM11",0,0,0,0,0,10,41.4709685601979,0,0.0395053645142719,-637.76718941264
"Fletcher","RM07",0,0,0,0,0,2,41.9621029871492,1,19.5239632317149,933.558128632326
"Horton2","RG08",0,NA,0,0,0,10,39.8938348562376,0,0.281688595606068,63.343586507758
"Peterson Complex","HP01",0,0,0,0,0,1,40.8833557368512,7,0.503329826985157,-440.516228665959
"Peterson Complex","RM09",0,0,0,0,0,1,40.8946099436483,3,8.13957179197538,-535.100900693172
"Antelope Complex","HP06",0,NA,0,0,0,2,40.1124197115414,12,100,568.522805505176
"Peterson Complex","HP02",0,NA,0,0,0,1,40.8854469429029,0,1.11290798934966,-479.509976796519
"Peterson Complex","RM07",0,0,0,1,NA,1,40.8898956281663,2,18.1017501748472,-277.369347058382
"Bell West","RM05",0,0,0,0,0,10,41.4699286874671,1,0,-538.26755802935
"Peterson Complex","HP05",0,0,1,NA,NA,1,40.892368392987,1,7.21257506799425,-436.179495765875
"Horton2","RG10",0,NA,0,0,0,10,39.892661999154,1,23.2113203053822,62.7792281404893
"Peterson Complex","RM03",0,0,0,0,1,1,40.8824601495328,0,5.5450158496966,-320.94716965939
"Fletcher","HP05",0,0,0,0,0,2,41.9729178903086,3,25.941194588109,853.76207135863
"Fletcher","HP09",1,NA,1,NA,NA,2,41.9755779326917,0,99.962739284773,1055.04203734697
"Peterson Complex","RM08",0,NA,1,NA,NA,1,40.8922842121399,0,8.6610170093184,-426.220002120904
"Peterson Complex","HP06",0,NA,0,1,NA,1,40.8948562178843,15,69.8745071301159,-434.982397827243
"Blue","HP02",0,NA,0,0,0,8,41.1436460241148,0,0,984.730916608354
"Harding","RG02",0,NA,0,0,0,4,39.6487978167167,0,55.7134799465644,-654.563962056978
"Fletcher","RM01",0,0,0,1,NA,2,41.9735692356461,0,81.5783129129228,1304.07548737183
"Harding","RG10",0,NA,0,0,0,4,39.6478151256458,3,97.3308664817737,-215.036815856522
"Boulder Complex","HP08",0,NA,0,0,1,3,40.1899904817322,0,27.0149130484399,-434.151493158574
"Fletcher","HP07",0,0,1,NA,NA,2,41.9759533752653,0,68.6432282275002,880.222693763508
"Harding","RM10",0,NA,0,0,0,4,39.6331101037037,3,71.3026540330054,-342.112615875056
"Harding","RM08",0,NA,0,0,0,4,39.6332435901225,0,21.8746565429763,-382.048384539100
"Bell West","HP08",0,NA,0,1,NA,10,41.4571222924388,0,0,-584.42977189992
"Moonlight","RM04",0,NA,0,0,1,2,40.2167870195611,0,1.69207894745897,-301.257466640765
"Horton2","RG05",0,0,1,NA,NA,10,39.8895399698281,4,89.7372074361925,21.2769620949807
"Blue","HP01",0,0,0,0,0,8,41.1416372684666,0,1.21805000441986,1043.76433843467
"Harding","RG06",0,NA,0,0,0,4,39.6547158381032,8,92.3061835281634,-651.716313410063
"Peterson Complex","RM10",0,NA,0,0,0,1,40.8968588885577,1,11.4287724804831,-614.018747637277
"Boulder Complex","HP01",0,0,0,0,0,3,40.1862203684428,0,17.5856952506315,-535.965605901016
"Bell","RM10",0,NA,0,0,0,8,41.7184443759075,7,80.8696759192525,121.313855707840
"Fletcher","HP10",0,NA,1,NA,NA,2,41.9762366143531,0,99.766331188623,1180.35898347124
"Bell West","HP03",0,0,0,0,0,10,41.4621337106295,0,0,-612.018364894457
"Harding","RM06",1,NA,1,NA,NA,4,39.6360520660032,0,0.115073589391012,-540.696994941248
"Bell West","RM08",0,NA,0,0,0,10,41.474135044671,0,89.0865527240623,-596.243532325852
"Horton2","RG02",0,NA,0,0,0,10,39.8840979950911,0,15.8767177455801,178.658378790820
"Horton2","RG04",0,NA,1,NA,NA,10,39.8881434886455,1,97.2760195288463,100.604999712561
"Bell West","RM01",0,0,0,0,0,10,41.466049943776,0,0,-600.133941825951
"Bell West","HP01",0,0,0,0,0,10,41.4667075915422,0,0.00545681538687849,-619.817493194006
"Harding","RM04",0,NA,0,0,0,4,39.6403404069603,0,55.5189196889701,-538.633520085979
"Horton2","RG09",0,0,0,0,0,10,39.8947903470217,0,31.6067698643574,63.8033520038192
"Horton2","RG01",0,0,0,1,NA,10,39.8818455059282,0,8.08588126494694,217.574520301972
"Harding","RM03",1,NA,1,NA,NA,4,39.6402905634226,0,95.8136040520345,-498.65750392676
"Bell West","RM02",0,NA,0,0,0,10,41.4662003410505,2,0,-580.061573281252
"Fletcher","RM08",0,NA,0,0,0,2,41.9640660116269,1,79.6711356291926,1049.50270176458
"Horton2","RG07",0,0,0,0,0,10,39.8930778388322,1,30.0375991691707,22.9793229390067
"Boulder Complex","HP04",0,NA,0,0,0,3,40.191818172421,0,89.1601002156763,-513.272040284542
"Bell West","RM03",0,0,0,0,0,10,41.4666491054773,1,0,-579.845635668104
"Antelope Complex","RM06",0,NA,1,NA,NA,2,40.095721124322,4,97.5435679045348,320.487736654428
"Bell West","RM09",0,0,0,0,0,10,41.4745065404642,0,94.1403282560235,-616.064775031186
"Boulder Complex","HP06",0,NA,0,0,0,3,40.192512216751,2,90.9566893264456,-472.938078261065
"Peterson Complex","RM01",0,0,0,0,0,1,40.8811940269922,0,0.53812311614639,-501.556405737481
"Harding","RG07",0,0,0,0,0,4,39.6525328559053,8,93.721368456019,-532.76672635995
"Boulder Complex","HP05",0,0,0,0,0,3,40.1921064890967,1,24.9387118408476,-473.133307330093
"Bell West","HP09",0,0,0,0,0,10,41.4562185227428,0,0.965845699887003,-574.864650110701
"Peterson Complex","HP10",0,NA,0,0,0,1,40.9039070736907,7,36.2223075495887,-410.627283912093
"Peterson Complex","HP08",0,NA,0,0,0,1,40.8995048881008,3,85.1432877076243,-452.745538818561
"Bell West","RM10",0,NA,0,0,0,10,41.4736033270229,0,96.8824009108396,-636.49938558191
"Harding","RM02",0,NA,1,NA,NA,4,39.6425277050372,0,54.1624986073239,-567.581030410408
"Bell West","HP06",0,NA,0,0,0,10,41.457199197907,0,0.0010082076895965,-599.392766330293
"Bell West","HP07",0,0,0,0,0,10,41.4577840521426,0,0.046494799780484,-599.111344675339
"Bell West","HP05",0,0,0,0,0,10,41.4588057010329,0,0,-598.619745052748
"Bell West","HP04",0,NA,0,0,0,10,41.46062256692,0,0,-607.745500884447
"Peterson Complex","HP09",0,0,0,0,0,1,40.901861178055,7,21.8575612758557,-471.611733199824
"Moonlight","RM01",0,0,0,0,0,2,40.2104950924504,3,4.76352457519932,-344.285032199104
"Horton2","RM04",1,NA,0,1,NA,10,39.8794215217158,6,34.4275411186477,896.408141387166
"Harding","RG09",0,0,0,0,0,4,39.6484578726012,11,100,-134.727537234780
"Harding","RM05",0,0,1,NA,NA,4,39.6391554130821,0,34.0555860515226,-619.203718467071
"Harding","RG11",0,NA,0,0,0,4,39.6473235384342,8,94.181324644875,-535.27335904664
"Harding","RM09",0,0,0,0,1,4,39.6320635730969,0,31.1551625237422,-382.616188145546
"Harding","RG04",0,NA,0,1,NA,4,39.6524758213088,0,37.7213540470131,-692.794170412776
"Harding","RG08",0,NA,0,0,0,4,39.6504528533559,4,99.975848078383,-413.767587299535
"Harding","RG01",0,0,0,0,0,4,39.6468000998675,0,24.6825550618783,-655.525228553164
"Boulder Complex","HP07",0,0,1,NA,NA,3,40.1912409823467,0,34.036110023237,-473.549774078788
"Azusa","DM03",0,NA,0,0,0,9,37.9372530876411,0,99.153256841051,841.870573477867
"Azusa","RS02",0,NA,0,0,0,9,37.9369295806303,1,75.448331629818,961.714907548088
"Azusa","DM04",0,0,0,0,0,9,37.9363735602261,1,99.3956044742415,881.447360229776
"Azusa","DM02",0,0,0,0,0,9,37.9382095702774,1,42.8561273262143,762.330816235906
"Crater","RS09",0,0,1,NA,NA,8,37.8872908135700,0,21.5559565811038,437.829598823744
"Manter","RM05",0,0,0,0,0,9,36.0272249769392,0,97.6624003840292,42.7983684638005
"Manter","RG11",0,0,0,0,0,9,36.0376255252851,2,10.0734455011561,-272.197069117425
"Crag 04","RG10",0,0,0,0,0,5,36.1597658721538,6,22.8495022551312,1306.57473496694
"Manter","RM09",0,0,0,0,0,9,36.0238530265668,7,99.2893459904533,121.175844770772
"Crag 04","RG07",0,NA,0,0,0,5,36.1626533326476,13,51.982360638588,1107.96413058267
"Manter","RM07",0,0,0,0,0,9,36.0246835099512,1,15.3364500019349,-38.42454111305
"Manter","RG02",0,NA,0,0,0,9,36.0530567619276,1,0.0456216327304319,-264.771827254412
"Crag 04","RM07",0,0,0,0,0,5,36.1573066356825,7,100,1145.39139328015
"Manter","RM10",0,NA,0,0,0,9,36.0223770708157,7,45.3905941760205,160.465640612486
"Manter","RM08",0,NA,0,0,0,9,36.0245846624621,1,42.6983349303851,41.5278951996601
"Crag 04","RG08",0,0,0,0,0,5,36.1622738459932,9,5.771225590578,1067.78152822499
"Crag 04","RM06",0,NA,0,0,0,5,36.1554299546951,20,80.2677159532336,1064.48836712910
"Manter","RG09",0,0,0,0,0,9,36.0411018936884,5,3.56277125859922,-230.524301289581
"Angora","BW02",1,NA,0,0,0,2,38.8946504725444,29,61.7701475308103,342.553492586539
