station,site,site1,site2,site3,site4,site4a,site5,latitude,longitude,elev,logged,hunt,trail,reconyx,dist,invage,unlogged,newlog,oldlog,nightlights,roaddens
hm01,Hose_mtns,1,1,1,1,10,1,2.24956,113.64291,524,1,0.0435,1,0,3.25,0.05,0,0,1,0,0.873
hm03,Hose_mtns,1,1,1,1,10,1,2.23536,113.6846,1093,1,0,1,1,6.77,0.05,0,0,1,0,1.049
hm04,Hose_mtns,1,1,1,1,10,1,2.2223,113.70767,1291,0,0,1,0,10.37,0,1,0,0,0,0.084
hm05,Hose_mtns,1,1,1,1,10,1,2.22391,113.70798,1334,1,0,1,1,10.36,0.05,0,0,1,0,0.126
hm06,Hose_mtns,1,1,1,1,10,1,2.22438,113.70633,1285,0,0,1,0,10.18,0,1,0,0,0,0.188
hm07,Hose_mtns,1,1,1,1,10,1,2.22114,113.70009,1255,1,0,1,1,9.52,0.05,0,0,1,0,0.544
hm08,Hose_mtns,1,1,1,1,10,1,2.23473,113.68937,1166,1,0,1,1,8.18,0.05,0,0,1,0,0.719
hm09,Hose_mtns,1,1,1,1,10,1,2.22822,113.70921,1303,1,0,1,0,10.43,0.05,0,0,1,0,0.188
hm10,Hose_mtns,1,1,1,1,10,1,2.2262,113.70949,1367,0,0,0,1,10.48,0,1,0,0,0,0.133
hm11,Hose_mtns,1,1,1,1,10,1,2.22485,113.70986,1436,0,0,1,0,10.58,0,1,0,0,0,0.094
hm13,Hose_mtns,1,1,1,1,10,1,2.24175,113.67469,933,1,0,1,1,6.56,0.05,0,0,1,0,0.784
hm14,Hose_mtns,1,1,1,1,10,1,2.2353,113.66826,916,1,0,1,0,5.82,0.05,0,0,1,0,1.345
hm15,Hose_mtns,1,1,1,1,10,1,2.23113,113.67177,840,1,0,1,0,6.24,0.05,0,0,1,0,1.076
hm16,Hose_mtns,1,1,1,1,10,1,2.22292,113.67722,844,1,0,1,1,7,0.05,0,0,1,0,0.639
hm17,Hose_mtns,1,1,1,1,10,1,2.21645,113.66949,895,1,0,1,0,6.37,0.05,0,0,1,0,1.21
hm18,Hose_mtns,1,1,1,1,10,1,2.23158,113.69557,1185,1,0,1,0,8.89,0.05,0,0,1,0,0.514
hm19,Hose_mtns,1,1,1,1,10,1,2.24537,113.66211,817,1,0.0345,1,0,5.26,0.05,0,0,1,0,1.029
hm20,Hose_mtns,1,1,1,1,10,1,2.24355,113.66518,858,1,0,1,0,5.54,0.05,0,0,1,0,0.991
mb01,Maliau,2,2,2,2,1,2,4.7375,116.96263,339,0,0,1,1,0.65,0,1,0,0,0.043,0.5
mb02,Maliau,2,2,2,2,1,2,4.70478,116.95518,289,1,0,0,1,3.78,0.07,0,0,1,0.081,0.95
mb03,Maliau,2,2,2,2,1,2,4.72602,116.97965,298,1,0,1,1,0.66,0.07,0,0,1,0.057,0.9
mb04,Maliau,2,2,2,2,1,2,4.7403,116.98071,226,1,0,1,1,0.67,0.07,0,0,1,0.031,0.95
mb05,Maliau,2,2,2,2,1,2,4.73889,116.96952,214,0,0,0,1,0.05,0,1,0,0,0.062,0.8
mb06,Maliau,2,2,2,2,1,2,4.74961,116.95187,539,0,0,1,1,1.42,0,1,0,0,0.035,0.01
mb07,Maliau,2,2,2,2,1,2,4.75537,116.94423,398,0,0,1,1,2.5,0,1,0,0,0.008,0
mb08,Maliau,2,2,2,2,1,2,4.68453,116.90967,591,1,0,1,1,4.17,0.07,0,0,1,-0.069,1.4
mb09,Maliau,2,2,2,2,1,2,4.68922,116.91803,607,1,0,1,1,4.72,0.07,0,0,1,-0.052,0.5
mb11,Maliau,2,2,2,2,1,2,4.67844,116.93312,353,1,0,1,1,3.39,0.07,0,0,1,0.021,1.2
mb12,Maliau,2,2,2,2,1,2,4.72357,116.98647,244,1,0.0062,1,1,0.06,0.07,0,0,1,0.023,0.9
mb13,Maliau,2,2,2,2,1,2,4.70168,116.90352,586,0,0,1,1,6.2,0,1,0,0,-0.006,0.6
mb14,Maliau,2,2,2,2,1,2,4.74161,116.87161,1027,0,0,1,1,13.08,0,1,0,0,0.015,0
mb15,Maliau,2,2,2,2,1,2,4.73614,116.89093,1082,0,0,1,1,11.09,0,1,0,0,0.045,0
mb16,Maliau,2,2,2,2,1,2,4.7205,116.88003,1057,0,0,1,1,11.19,0,1,0,0,-0.014,0
mb17,Maliau,2,2,2,2,1,2,4.70758,116.88565,1115,0,0,1,1,9.86,0,1,0,0,0.018,0
mb18,Maliau,2,2,2,2,1,2,4.73052,116.9716,279,1,0,1,1,1.69,0.07,0,0,1,-0.002,0.2
mb19,Maliau,2,2,2,2,1,2,4.70837,116.94882,362,1,0,0,1,4.6,0.07,0,0,1,0.097,0.4
mb20,Maliau,2,2,2,2,1,2,4.70725,116.92599,621,0,0,1,1,6.07,0,1,0,0,-0.015,0
mb21,Maliau,2,2,2,2,1,2,4.72826,116.9275,895,0,0,1,1,4.58,0,1,0,0,0.053,0
mb22,Maliau,2,2,2,2,1,2,4.7446,116.91649,733,0,0,0,1,5.52,0,1,0,0,-0.011,0
mb23,Maliau,2,2,2,2,1,2,4.74964,116.907,891,0,0,1,1,6.63,0,1,0,0,0.056,0
mb24,Maliau,2,2,2,2,1,2,4.75447,116.91559,782,0,0,0,1,5.81,0,1,0,0,-0.016,0
mb25,Maliau,2,2,2,2,1,2,4.75784,116.92092,868,0,0,1,1,5.35,0,1,0,0,0.004,0
mb26,Maliau,2,2,2,2,1,2,4.71406,116.96952,289,1,0,0,1,2,0.07,0,0,1,0.018,1
mb27,Maliau,2,2,2,2,1,2,4.74123,116.96521,232,0,0,1,1,0.08,0,1,0,0,0.069,0.15
mb28,Maliau,2,2,2,2,1,2,4.74059,116.96526,228,0,0,0,1,0.11,0,1,0,0,0.069,0.15
mu02,Mulu,3,3,3,3,4,3,4.04581,114.86527,364,0,0.0505,1,0,5.71,0,1,0,0,0.096,0
mu04,Mulu,3,3,3,3,4,3,4.03967,114.88303,1133,0,0.0053,1,0,7.75,0,1,0,0,0.115,0
mu05,Mulu,3,3,3,3,4,3,4.03789,114.88658,1326,0,0.0098,1,0,8.17,0,1,0,0,-0.002,0
